bioguide_id,title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,senate_class,gender,birthdate,phone,fax,website,congress_office,fec_id,govtrack_id,crp_id,twitter_id,youtube_url,facebook_id,official_rss
B000213,Rep,Joe,Linus,Barton,,,R,TX,06,,M,1949-09-15,202-225-2002,202-225-3052,http://joebarton.house.gov,2107 Rayburn House Office Building,H4TX06117,400018,N00005656,RepJoeBarton,http://youtube.com/repjoebarton,15617630596,
B000287,Rep,Xavier,,Becerra,,,D,CA,34,,M,1958-01-26,202-225-6235,202-225-2202,http://becerra.house.gov,1226 Longworth House Office Building,H2CA30143,400021,N00009774,RepBecerra,http://youtube.com/XavierBecerra,90311772229,
B000490,Rep,Sanford,D.,Bishop,Jr.,,D,GA,02,,M,1947-02-04,202-225-3631,202-225-2203,http://bishop.house.gov,2407 Rayburn House Office Building,H2GA02031,400030,N00002674,SanfordBishop,http://youtube.com/RepSanfordBishop,366739521606,
B000574,Rep,Earl,,Blumenauer,,,D,OR,03,,M,1948-08-16,202-225-4811,202-225-8941,http://blumenauer.house.gov,1111 Longworth House Office Building,H6OR03064,400033,N00007727,BlumenauerMedia,http://youtube.com/RepBlumenauer,,
B000575,Sen,Roy,,Blunt,,,R,MO,Junior Seat,III,M,1950-01-10,202-224-5721,202-224-8149,http://www.blunt.senate.gov/public,260 Russell Senate Office Building,H6MO07128,400034,N00005195,RoyBlunt,http://youtube.com/SenatorBlunt,142473042477322,
B000711,Sen,Barbara,,Boxer,,,D,CA,Junior Seat,III,F,1940-11-11,202-224-3553,202-224-0454,https://www.boxer.senate.gov,112 Hart Senate Office Building,S2CA00286,300011,N00006692,SenatorBoxer,http://youtube.com/SenatorBoxer,116513005087055,
B000755,Rep,Kevin,P.,Brady,,,R,TX,08,,M,1955-04-11,202-225-4901,202-225-5524,http://kevinbrady.house.gov,301 Cannon House Office Building,H6TX08100,400046,N00005883,RepKevinBrady,http://youtube.com/KBrady8,9307301412,
B000911,Rep,Corrine,,Brown,,,D,FL,05,,F,1946-11-11,202-225-0123,202-225-2256,https://corrinebrown.house.gov,2111 Rayburn House Office Building,H2FL03056,400048,N00002713,RepCorrineBrown,http://youtube.com/CongresswomanBrown,179120958813519,
B000944,Sen,Sherrod,,Brown,,,D,OH,Senior Seat,I,M,1952-11-09,202-224-2315,202-228-6321,http://www.brown.senate.gov,713 Hart Senate Office Building,H2OH13033,400050,N00003535,SenSherrodBrown,http://youtube.com/SherrodBrownOhio,,
B001135,Sen,Richard,M.,Burr,,,R,NC,Senior Seat,III,M,1955-11-30,202-224-3154,202-228-2981,http://www.burr.senate.gov,217 Russell Senate Office Building,S4NC00089,400054,N00002221,SenatorBurr,http://youtube.com/SenatorRichardBurr,132653626787856,
B001227,Rep,Robert,Alan,Brady,,,D,PA,01,,M,1945-04-07,202-225-4731,202-225-0088,http://brady.house.gov,102 Cannon House Office Building,H8PA01153,400047,N00001619,RepBrady,http://youtube.com/BradyPA01,118845109487,
B001230,Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,I,F,1962-02-11,202-224-5653,202-225-6942,http://www.baldwin.senate.gov,717 Hart,H8WI00018,400013,N00004367,SenatorBaldwin,http://youtube.com/witammybaldwin,7357041101,
B001236,Sen,John,,Boozman,,,R,AR,Senior Seat,III,M,1950-12-10,202-224-4843,202-228-1371,https://www.boozman.senate.gov/public/index.cfm/home,141 Hart Senate Office Building,H2AR03176,400040,N00013873,JohnBoozman,http://youtube.com/BoozmanPressOffice,7686715735,
B001243,Rep,Marsha,W.,Blackburn,,,R,TN,07,,F,1952-06-06,202-225-2811,202-225-3004,http://blackburn.house.gov,2266 Rayburn House Office Building,H2TN06030,400032,N00003105,MarshaBlackburn,http://youtube.com/RepMarshaBlackburn,6470828395,
B001248,Rep,Michael,C.,Burgess,,,R,TX,26,,M,1950-12-23,202-225-7772,202-225-2919,http://burgess.house.gov,2336 Rayburn House Office Building,H2TX26093,400052,N00025219,MichaelCBurgess,http://youtube.com/michaelcburgessmd,6916472567,
B001250,Rep,Rob,,Bishop,,,R,UT,01,,M,1951-07-13,202-225-0453,202-225-5857,http://robbishop.house.gov,123 Cannon House Office Building,H2UT01094,400029,N00025292,RepRobBishop,http://youtube.com/CongressmanBishop,RepRobBishop,
B001251,Rep,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,01,,M,1947-04-27,202-225-3101,202-225-3354,http://butterfield.house.gov,2305 Rayburn House Office Building,H4NC01046,400616,N00027035,GKButterfield,http://youtube.com/GKBNC01,274687979233940,
B001255,Rep,Charles,W.,Boustany,Jr.,,R,LA,03,,M,1956-02-21,202-225-2031,202-225-5724,http://boustany.house.gov,1431 Longworth House Office Building,H4LA07029,400636,N00026595,RepBoustany,http://youtube.com/boustanyla07,197407646951718,
B001257,Rep,Gus,M.,Bilirakis,,,R,FL,12,,M,1963-02-08,202-225-5755,202-225-4085,https://bilirakis.house.gov,2112 Rayburn House Office Building,H6FL09070,412250,N00027462,RepGusBilirakis,http://youtube.com/RepGusBilirakis,135445766485586,
B001260,Rep,Vern,,Buchanan,,,R,FL,16,,M,1951-05-08,202-225-5015,202-226-0828,https://buchanan.house.gov,2104 Rayburn House Office Building,H6FL13148,412196,N00027626,VernBuchanan,http://youtube.com/vernbuchanan,67106719910,
B001261,Sen,John,A.,Barrasso,,,R,WY,Junior Seat,I,M,1952-07-21,202-224-6441,202-224-1724,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building,S6WY00068,412251,N00006236,SenJohnBarrasso,http://youtube.com/barrassowyo,21146775942,
B001267,Sen,Michael,F.,Bennet,,,D,CO,Senior Seat,III,M,1964-11-28,202-224-5852,202-228-5036,https://www.bennet.senate.gov,261 Russell Senate Office Building,S0CO00211,412330,N00030608,SenBennetCo,http://youtube.com/SenatorBennet,97172997732,
B001269,Rep,Lou,,Barletta,,,R,PA,11,,M,1956-01-28,202-225-6511,202-225-0764,http://barletta.house.gov,115 Cannon House Office Building,H2PA11098,412469,N00025495,RepLouBarletta,http://youtube.com/reploubarletta,192357174108435,
B001270,Rep,Karen,,Bass,,,D,CA,37,,F,1953-10-03,202-225-7084,202- 225-2422,http://bass.house.gov,408 Cannon House Office Building,H0CA33117,412404,N00031877,RepKarenBass,http://youtube.com/RepKarenBass,190867440939405,
B001271,Rep,Dan,,Benishek,,,R,MI,01,,M,1952-04-20,202-225-4735,202- 225-4744,http://benishek.house.gov,514 Cannon House Office Building,H0MI01088,412436,N00031934,CongressmanDan,,124163654317596,
B001273,Rep,Diane,,Black,,,R,TN,06,,F,1951-01-16,202-225-4231,202- 225-6887,http://black.house.gov,1131 Longworth House Office Building,H0TN06257,412478,N00031539,RepDianeBlack,http://youtube.com/RepDianeBlack,186436274719648,
B001274,Rep,Mo,,Brooks,,,R,AL,05,,M,1954-04-29,202-225-4801,202-225-4392,http://brooks.house.gov,1230 Longworth House Office Building,H0AL05163,412395,N00030910,RepMoBrooks,http://youtube.com/RepMoBrooks,155220881193244,
B001275,Rep,Larry,,Bucshon,,,R,IN,08,,M,1962-05-31,202-225-4636,202-225-3284,http://bucshon.house.gov,1005 Longworth House Office Building,H0IN08114,412427,N00031227,RepLarryBucshon,http://youtube.com/RepLarryBucshon,135670516492974,
B001277,Sen,Richard,,Blumenthal,,,D,CT,Senior Seat,III,M,1946-02-13,202-224-2823,202-224-9673,http://www.blumenthal.senate.gov,706 Hart Senate Office Building,S0CT00177,412490,N00031685,SenBlumenthal,http://youtube.com/SenatorBlumenthal,289987304364966,
B001278,Rep,Suzanne,,Bonamici,,,D,OR,01,,F,1954-10-14,202-225-0855,202-225-9497,http://bonamici.house.gov,439 Cannon House Office Building,H2OR01133,412501,N00033474,RepBonamici,http://youtube.com/RepSuzanneBonamici,252633384817156,
B001281,Rep,Joyce,,Beatty,,,D,OH,03,,F,1950-03-12,202-225-4324,202-225-1984,http://beatty.house.gov,133 Cannon House Office Building,H2OH03125,412565,N00033904,RepBeatty,,RepJoyceBeatty,
B001282,Rep,Garland,,Barr,,Andy,R,KY,06,,M,1973-07-24,202-225-4706,,https://barr.house.gov,1432 Longworth House Office Building,H0KY06104,412541,N00031233,RepAndyBarr,http://youtube.com/RepAndyBarr,457461137635018,
B001283,Rep,Jim,,Bridenstine,,,R,OK,01,,M,1975-06-15,202-225-2211,918-935-2716,http://bridenstine.house.gov,216 Cannon House Office Building,H2OK01143,412567,N00033532,RepJBridenstine,http://youtube.com/RepJimBridenstine,460003650715961,
B001284,Rep,Susan,W.,Brooks,,,R,IN,05,,F,1960-08-25,202-225-2276,202-225-0016,http://susanwbrooks.house.gov,1505 Longworth House Office Building,H2IN05082,412539,N00033495,SusanWBrooks,http://youtube.com/SusanWBrooks,517697358277175,
B001285,Rep,Julia,,Brownley,,,D,CA,26,,F,1952-08-28,202-225-5811,202-225-1100,http://juliabrownley.house.gov,1019 Longworth House Office Building,H2CA00120,412516,N00034254,JuliaBrownley26,http://youtube.com/RepJuliaBrownley,330504617051234,
B001286,Rep,Cheri,,Bustos,,,D,IL,17,,F,1961-10-17,202-225-5905,309-786-3720,http://bustos.house.gov,1009 Longworth House Office Building,H2IL17071,412537,N00033390,RepCheri,http://youtube.com/RepCheri,581909665168588,
B001287,Rep,Ami,,Bera,,,D,CA,07,,M,1965-03-02,202-225-5716,202-226-1298,http://bera.house.gov,1535 Longworth House Office Building,H0CA03078,412512,N00030717,RepBera,http://youtube.com/repamibera,528662157146886,
B001288,Sen,Cory,Anthony,Booker,,,D,NJ,Junior Seat,II,M,1969-04-27,202-224-3224,202-224-8378,http://www.booker.senate.gov,359 Dirksen Senate Office Building,S4NJ00185,412598,N00035267,CoryBooker,http://youtube.com/SenCoryBooker,,
B001289,Rep,Bradley,,Byrne,,,R,AL,01,,M,1955-02-16,202-225-4931,202-225-0562,https://byrne.house.gov,119 Cannon House Office Building,H4AL01123,412601,N00035380,RepByrne,,1374832002773142,
B001290,Rep,David,Alan,Brat,,Dave,R,VA,07,,M,1964-07-27,202-225-2815,,http://brat.house.gov,330 Cannon House Office Building,H4VA07143,412605,N00036013,RepDaveBrat,,RepDaveBrat,
B001291,Rep,Brian,,Babin,,,R,TX,36,,M,1948-03-23,202-225-1555,202-226-0396,http://babin.house.gov,316 Cannon House Office Building,H6TX02079,412655,N00005736,RepBrianBabin,,RepBrianBabin,
B001292,Rep,Donald,,Beyer,,,D,VA,08,,M,1950-06-20,202-225-4376,202-225-0017,http://beyer.house.gov,431 Cannon House Office Building,H4VA08224,412657,N00036018,repdonbeyer,,repdonbeyer,
B001293,Rep,Mike,,Bishop,,,R,MI,08,,M,1967-03-18,202-225-4872,202-225-5820,https://mikebishop.house.gov,428 Cannon House Office Building,H4MI08135,412635,N00036449,RepMikeBishop,,RepMikeBishop,
B001294,Rep,Rod,,Blum,,,R,IA,01,,M,1955-04-26,202-225-2911,,https://blum.house.gov,213 Cannon House Office Building,H2IA01055,412627,N00033744,RepRodBlum,,congressmanrodblum,
B001295,Rep,Mike,,Bost,,,R,IL,12,,M,1960-12-30,202-225-5661,202-225-0285,https://bost.house.gov,1440 Longworth House Office Building,H4IL12060,412629,N00035420,RepBost,,RepBost,
B001296,Rep,Brendan,,Boyle,,,D,PA,13,,M,1977-02-06,202-225-6111,202-226-0611,https://boyle.house.gov,118 Cannon House Office Building,H4PA13199,412652,N00035307,RepBrendanBoyle,,CongressmanBoyle,
B001297,Rep,Ken,,Buck,,,R,CO,04,,M,1959-02-16,202-225-4676,202-225-5870,https://buck.house.gov,416 Cannon House Office Building,S0CO00237,412619,N00030829,RepKenBuck,,repkenbuck,
C000059,Rep,Ken,S.,Calvert,,,R,CA,42,,M,1953-06-08,202-225-1986,202-225-2004,http://calvert.house.gov,2205 Rayburn House Office Building,H2CA37023,400057,N00007099,KenCalvert,http://youtube.com/RepKenCalvert,70063393423,
C000127,Sen,Maria,,Cantwell,,,D,WA,Junior Seat,I,F,1958-10-13,202-224-3441,202-228-0514,https://www.cantwell.senate.gov,511 Hart Senate Office Building,S8WA00194,300018,N00007836,SenatorCantwell,http://youtube.com/SenatorCantwell,,
C000141,Sen,Benjamin,L.,Cardin,,,D,MD,Junior Seat,I,M,1943-10-05,202-224-4524,202-224-1651,https://www.cardin.senate.gov,509 Hart Senate Office Building,H6MD03177,400064,N00001955,SenatorCardin,http://youtube.com/senatorcardin,120421834675191,
C000174,Sen,Thomas,Richard,Carper,,,D,DE,Senior Seat,I,M,1947-01-23,202-224-2441,202-228-2190,http://www.carper.senate.gov/public,513 Hart Senate Office Building,S8DE00079,300019,N00012508,SenatorCarper,http://youtube.com/senatorcarper,124891107521733,
C000266,Rep,Steve,J.,Chabot,,,R,OH,01,,M,1953-01-22,202-225-2216,202-225-3012,http://chabot.house.gov,2371 Rayburn House Office Building,H8OH01043,400071,N00003689,RepSteveChabot,http://youtube.com/congressmanchabot,204705339555378,
C000537,Rep,James,E.,Clyburn,,Jim,D,SC,06,,M,1940-07-21,202-225-3315,202-225-2313,http://clyburn.house.gov,242 Cannon House Office Building,H2SC02042,400075,N00002408,Clyburn,http://youtube.com/repjamesclyburn,127744320598870,
C000542,Sen,Daniel,Ray,Coats,,,R,IN,Senior Seat,III,M,1943-05-16,202-224-5623,202-228-1820,http://www.coats.senate.gov,493 Russell Senate Office Building,S0IN00053,402675,N00003845,SenDanCoats,http://youtube.com/SenatorCoats,180671148633644,
C000567,Sen,Thad,,Cochran,,,R,MS,Senior Seat,II,M,1937-12-07,202-224-5054,202-224-9450,http://www.cochran.senate.gov,113 Dirksen Senate Office Building,S8MS00055,300023,N00003328,SenThadCochran,http://youtube.com/sencochran,,
C000714,Rep,John,,Conyers,Jr.,,D,MI,13,,M,1929-05-16,202-225-5126,202-225-0072,https://conyers.house.gov,2426 Rayburn House Office Building,H6MI01028,400080,N00004029,RepJohnConyers,http://youtube.com/JCMI14,206947066849,
C000754,Rep,Jim,,Cooper,,,D,TN,05,,M,1954-06-19,202-225-4311,202-226-1035,http://cooper.house.gov,1536 Longworth House Office Building,H2TN05131,400081,N00003132,RepJimCooper,http://youtube.com/RepJimCooper,JimCooper,
C000880,Sen,Michael,D.,Crapo,,,R,ID,Senior Seat,III,M,1951-05-20,202-224-6142,202-228-1375,http://www.crapo.senate.gov,239 Dirksen Senate Office Building,S8ID00027,300030,N00006267,MikeCrapo,http://youtube.com/senatorcrapo,80335332266,
C000984,Rep,Elijah,E.,Cummings,,,D,MD,07,,M,1951-01-18,202-225-4741,202-225-3178,http://cummings.house.gov,2230 Rayburn House Office Building,H6MD07160,400090,N00001971,RepCummings,http://youtube.com/ElijahECummings,291368465380,
C001035,Sen,Susan,M.,Collins,,,R,ME,Senior Seat,II,F,1952-12-07,202-224-2523,202-224-2693,https://www.collins.senate.gov,413 Dirksen Senate Office Building,S6ME00159,300025,N00000491,SenatorCollins,http://youtube.com/SenatorSusanCollins,7593313361,
C001036,Rep,Lois,,Capps,,,D,CA,24,,F,1938-01-10,202-225-3601,202-225-5632,http://capps.house.gov,2231 Rayburn House Office Building,H8CA22089,400062,N00007232,RepLoisCapps,http://youtube.com/reploiscapps,168989481141,
C001037,Rep,Michael,E.,Capuano,,,D,MA,07,,M,1952-01-09,202-225-5111,202-225-9322,http://capuano.house.gov,1414 Longworth House Office Building,H8MA08071,400063,N00000267,,http://youtube.com/RepMikeCapuano,151168844937573,
C001038,Rep,Joseph,,Crowley,,Joe,D,NY,14,,M,1962-03-16,202-225-3965,202-225-1909,http://crowley.house.gov,1436 Longworth House Office Building,H8NY07046,400087,N00001127,RepJoeCrowley,http://youtube.com/RepJoeCrowley,176197712425090,
C001045,Rep,Ander,,Crenshaw,,,R,FL,04,,M,1944-09-01,202-225-2501,202-225-2504,https://crenshaw.house.gov,2161 Rayburn House Office Building,H0FL04066,400086,N00012739,AnderCrenshaw,http://youtube.com/RepAnderCrenshaw,200388204657,
C001047,Sen,Shelley,Moore,Capito,,,R,WV,Junior Seat,II,F,1953-11-26,202-224-6472,,https://www.capito.senate.gov,172 Russell Senate Office Building,H0WV02138,400061,N00009771,SenCapito,http://youtube.com/UCbiXdR4XQ3vD9Xp5lfR9QXw,8057864757,
C001048,Rep,John,Abney,Culberson,,,R,TX,07,,M,1956-08-24,202-225-2571,202-225-4381,http://culberson.house.gov,2372 Rayburn House Office Building,H0TX07055,400089,N00009738,CongCulberson,http://youtube.com/johnculbersontx07,1751723339,
C001049,Rep,Wm.,Lacy,Clay,Jr.,,D,MO,01,,M,1956-07-27,202-225-2406,202-226-3717,http://lacyclay.house.gov,2428 Rayburn House Office Building,H0MO01066,400074,N00012460,,http://youtube.com/WilliamLacyClay,109135405838588,
C001051,Rep,John,R.,Carter,,,R,TX,31,,M,1941-11-06,202-225-3864,202-225-5886,http://carter.house.gov,2110 Rayburn House Office Building,H2TX31044,400068,N00025095,JudgeCarter,http://youtube.com/repjohncarter,1287257083,
C001053,Rep,Tom,,Cole,,,R,OK,04,,M,1949-04-28,202-225-6165,202-225-3512,http://cole.house.gov,2467 Rayburn House Office Building,H2OK04055,400077,N00025726,TomColeOK04,http://youtube.com/reptomcole,146497782066300,
C001056,Sen,John,,Cornyn,,,R,TX,Senior Seat,II,M,1952-02-02,202-224-2934,202-228-2856,https://www.cornyn.senate.gov,517 Hart Senate Office Building,S2TX00106,300027,N00024852,JohnCornyn,http://youtube.com/senjohncornyn,75755694423,
C001059,Rep,Jim,,Costa,,,D,CA,16,,M,1952-04-13,202-225-3341,202-225-9308,https://costa.house.gov,1314 Longworth House Office Building,H4CA20082,400618,N00026341,RepJimCosta,http://youtube.com/RepJimCostaCA20,RepJimCosta,
C001061,Rep,Emanuel,,Cleaver,II,,D,MO,05,,M,1944-10-26,202-225-4535,202-225-4403,http://cleaver.house.gov,2335 Rayburn House Office Building,H4MO05234,400639,N00026790,RepCleaver,http://youtube.com/repcleaver,7954512692,
C001062,Rep,K.,Michael,Conaway,,,R,TX,11,,M,1948-06-11,202-225-3605,202-225-1783,http://conaway.house.gov,2430 Rayburn House Office Building,H4TX19136,400655,N00026041,ConawayTX11,http://youtube.com/mikeconaway11,203482063021985,
C001063,Rep,Henry,,Cuellar,,,D,TX,28,,M,1955-09-19,202-225-1640,202-225-1641,http://cuellar.house.gov,2209 Rayburn House Office Building,H2TX23082,400657,N00024978,RepCuellar,http://youtube.com/henrycuellar,152569121550,
C001066,Rep,Kathy,,Castor,,,D,FL,14,,F,1966-08-20,202-225-3376,202-225-5652,http://castor.house.gov,205 Cannon House Office Building,H6FL11126,412195,N00027514,USRepKCastor,http://youtube.com/RepKathyCastor,181810465190906,
C001067,Rep,Yvette,D.,Clarke,,,D,NY,09,,F,1964-11-21,202-225-6231,202-226-0112,http://clarke.house.gov,2351 Rayburn House Office Building,H4NY11138,412221,N00026961,YvetteClarke,http://youtube.com/repyvetteclarke,135031389892682,
C001068,Rep,Steve,,Cohen,,,D,TN,09,,M,1949-05-24,202-225-3265,202-225-5663,http://cohen.house.gov,2404 Rayburn House Office Building,H6TN09068,412236,N00003225,RepCohen,http://youtube.com/repcohen,111456965545421,
C001069,Rep,Joe,,Courtney,,,D,CT,02,,M,1953-04-06,202-225-2076,202-225-4977,http://courtney.house.gov,2348 Rayburn House Office Building,H2CT02112,412193,N00024842,RepJoeCourtney,http://youtube.com/repcourtney,330408799230,
C001070,Sen,Robert,P.,Casey,Jr.,Bob,D,PA,Senior Seat,I,M,1960-04-13,202-224-6324,202-228-0604,https://www.casey.senate.gov,393 Russell Senate Office Building,S6PA00217,412246,N00027503,SenBobCasey,http://youtube.com/SenatorBobCasey,107749545944874,
C001071,Sen,Bob,,Corker,,,R,TN,Junior Seat,I,M,1952-08-24,202-224-3344,202-228-0566,http://www.corker.senate.gov,425 Dirksen Senate Office Building,S6TN00216,412248,N00027441,SenBobCorker,http://youtube.com/senatorcorker,109251415789533,
C001072,Rep,André,,Carson,,,D,IN,07,,M,1974-10-16,202-225-4011,202-225-5633,http://carson.house.gov,2453 Rayburn House Office Building,H8IN07184,412258,N00029513,RepAndreCarson,http://youtube.com/repandrecarson,123884330964019,
C001075,Sen,Bill,,Cassidy,,,R,LA,Junior Seat,II,M,1957-09-28,202-224-5824,,http://www.cassidy.senate.gov,703 Hart Senate Office Building,H8LA00017,412269,N00030245,,http://youtube.com/SenatorBillCassidy,,
C001076,Rep,Jason,,Chaffetz,,,R,UT,03,,M,1967-03-26,202-225-7751,202-225-5629,http://chaffetz.house.gov,2236 Rayburn House Office Building,H8UT03089,412270,N00028958,JasonInTheHouse,http://youtube.com/JasonChaffetz,390419731073316,
C001077,Rep,Mike,,Coffman,,,R,CO,06,,M,1955-03-19,202-225-7882,202-226-4623,http://coffman.house.gov,2443 Rayburn House Office Building,H8CO06138,412271,N00024753,RepMikeCoffman,http://youtube.com/CongressmanCoffman,366142384492,
C001078,Rep,Gerald,E.,Connolly,,,D,VA,11,,M,1950-03-30,202-225-1492,202-225-3071,http://connolly.house.gov,2238 Rayburn House Office Building,H8VA11062,412272,N00029891,GerryConnolly,http://youtube.com/repconnolly,177164035838,
C001080,Rep,Judy,M.,Chu,,,D,CA,27,,F,1953-07-07,202-225-5464,202-225-5467,http://chu.house.gov,2423 Rayburn House Office Building,H0CA32101,412379,N00030600,RepJudyChu,http://youtube.com/RepJudyChu,41228315130,
C001083,Rep,John,C.,Carney,,,D,DE,00,,M,1956-05-20,202-225-4165,202-225-2291,http://johncarney.house.gov,1406 Longworth House Office Building,H0DE01017,412407,N00030736,JohnCarneyde,http://youtube.com/RepJohnCarney,156024857781159,
C001084,Rep,David,N.,Cicilline,,,D,RI,01,,M,1961-07-15,202-225-4911,202- 225-3290,http://cicilline.house.gov,2244 Rayburn House Office Building,H0RI01073,412470,N00032019,RepCicilline,http://youtube.com/RepDavidCicilline,186949061341027,
C001087,Rep,Eric,A.,Crawford,,Rick,R,AR,01,,M,1966-01-22,202-225-4076,202-225-5602,http://crawford.house.gov,1711 Longworth House Office Building,H0AR01083,412400,N00030770,RepRickCrawford,http://youtube.com/RepRickCrawford,143344975723788,
C001088,Sen,Chris,Andrew,Coons,,,D,DE,Junior Seat,II,M,1963-09-09,202-224-5042,,https://www.coons.senate.gov,127a Russell Senate Office Building,S0DE00092,412390,N00031820,SenCoonsOffice,http://youtube.com/senatorchriscoons,254950754518205,
C001090,Rep,Matthew,A.,Cartwright,,,D,PA,17,,M,1961-05-01,202-225-5546,570-341-1055,http://cartwright.house.gov,1419 Longworth House Office Building,H2PA17079,412571,N00034128,RepCartwright,,248507065275406,
C001091,Rep,Joaquin,,Castro,,,D,TX,20,,M,1974-09-16,202-225-3236,202-225-1915,http://castro.house.gov,212 Cannon House Office Building,H2TX35011,412576,N00033316,JoaquinCastrotx,http://youtube.com/JoaquinCastroTX,326420614138023,
C001092,Rep,Chris,,Collins,,,R,NY,27,,M,1950-05-20,202-225-5265,202-225-5910,http://chriscollins.house.gov,1117 Longworth House Office Building,H8NY29032,412563,N00001285,RepChrisCollins,http://youtube.com/RepChrisCollins,467047586692268,
C001093,Rep,Doug,,Collins,,,R,GA,09,,M,1966-08-16,202-225-9893,202-226-1224,http://dougcollins.house.gov,1504 Longworth House Office Building,H2GA09150,412531,N00033518,RepDougCollins,http://youtube.com/repdougcollins,505646972800006,
C001094,Rep,Paul,,Cook,,,R,CA,08,,M,1943-03-03,202-225-5861,,http://cook.house.gov,1222 Longworth House Office Building,H2CA08164,412513,N00034224,RepPaulCook,http://youtube.com/RepPaulCook,464458413604093,
C001095,Sen,Tom,,Cotton,,,R,AR,Junior Seat,II,M,1977-05-13,202-224-2353,,https://www.cotton.senate.gov,124 Russell Senate Office Building,H2AR04083,412508,N00033363,SenTomCotton,http://youtube.com/RepTomCotton,120355701459307,
C001096,Rep,Kevin,,Cramer,,,R,ND,00,,M,1961-01-21,202-225-2611,202-226-0893,http://cramer.house.gov,1032 Longworth House Office Building,H0ND01026,412555,N00004614,RepKevinCramer,http://youtube.com/kevincramer,498751820147706,
C001097,Rep,Tony,,Cárdenas,,,D,CA,29,,M,1963-03-31,202-225-6131,202-225-0819,http://cardenas.house.gov,1510 Longworth House Office Building,H2CA28113,412517,N00033373,RepCardenas,http://youtube.com/repcardenas,485493954794945,
C001098,Sen,Ted,,Cruz,,,R,TX,Junior Seat,I,M,1970-12-22,202-224-5922,202-228-3398,https://www.cruz.senate.gov,404 Russell Senate Office Building,S2TX00312,412573,N00033085,SenTedCruz,http://youtube.com/sentedcruz,315496455229328,
C001101,Rep,Katherine,M.,Clark,,,D,MA,05,,F,1963-07-17,202-225-2836,202-226-0092,https://katherineclark.house.gov,1721 Longworth House Office Building,H4MA05084,412600,N00035278,RepKClark,,1408040802774787,
C001102,Rep,Curtis,,Clawson,,Curt,R,FL,19,,M,1959-09-28,202-225-2536,,http://clawson.house.gov,228 Cannon House Office Building,H4FL19074,412604,N00035854,RepCurtClawson,,RepCurtClawson,
C001103,Rep,Buddy,,Carter,,,R,GA,01,,M,1957-09-06,202-225-5831,202-226-2269,http://buddycarter.house.gov,432 Cannon House Office Building,H4GA01039,412622,N00035346,RepBuddyCarter,,congressmanbuddycarter,
